Gross Sales,Sales returns-allowances and discounts,Retake,Discount,Net sales,COGS,Gross margin,Operating Expense,R&D,Labour,SG&A,Operating income,Other G/L,Calculator Income,Scholarship Expense,EBIT,Gross Margin,EBIT Margin
21600000,0,0,0,21600000,90000,21510000,19260000.0,2160000.0,11100000,6000000,2250000.0,-810000.0,0,810000.0,1440000.0,0.9958333333333333,0.06666666666666667
21600000,0,0,0,21600000,180000,21420000,19260000.0,2160000.0,11100000,6000000,2160000.0,-810000.0,0,810000.0,1350000.0,0.9916666666666667,0.0625
21600000,0,0,0,21600000,90000,21510000,19260000.0,2160000.0,11100000,6000000,2250000.0,-989999.9999999999,0,989999.9999999999,1260000.0,0.9958333333333333,0.058333333333333334
21600000,0,0,0,21600000,180000,21420000,19260000.0,2160000.0,11100000,6000000,2160000.0,-989999.9999999999,0,989999.9999999999,1170000.0,0.9916666666666667,0.05416666666666667
21600000,0,0,0,21600000,90000,21510000,19260000.0,2160000.0,11100000,6000000,2250000.0,-899999.9999999999,0,899999.9999999999,1350000.0,0.9958333333333333,0.0625
21600000,0,0,0,21600000,180000,21420000,19260000.0,2160000.0,11100000,6000000,2160000.0,-899999.9999999999,0,899999.9999999999,1260000.0,0.9916666666666667,0.058333333333333334
21600000,0,0,0,21600000,90000,21510000,20160000.0,2160000.0,12000000,6000000,1350000.0,-810000.0,0,810000.0,540000.0,0.9958333333333333,0.025
21600000,0,0,0,21600000,180000,21420000,20160000.0,2160000.0,12000000,6000000,1260000.0,-810000.0,0,810000.0,450000.0,0.9916666666666667,0.020833333333333332
21600000,0,0,0,21600000,90000,21510000,20160000.0,2160000.0,12000000,6000000,1350000.0,-989999.9999999999,0,989999.9999999999,360000.0000000001,0.9958333333333333,0.016666666666666673
21600000,0,0,0,21600000,180000,21420000,20160000.0,2160000.0,12000000,6000000,1260000.0,-989999.9999999999,0,989999.9999999999,270000.0000000001,0.9916666666666667,0.012500000000000006
21600000,0,0,0,21600000,90000,21510000,20160000.0,2160000.0,12000000,6000000,1350000.0,-899999.9999999999,0,899999.9999999999,450000.0000000001,0.9958333333333333,0.02083333333333334
21600000,0,0,0,21600000,180000,21420000,20160000.0,2160000.0,12000000,6000000,1260000.0,-899999.9999999999,0,899999.9999999999,360000.0000000001,0.9916666666666667,0.016666666666666673
21600000,0,0,0,21600000,90000,21510000,19710000.0,2160000.0,11550000,6000000,1800000.0,-810000.0,0,810000.0,990000.0,0.9958333333333333,0.04583333333333333
21600000,0,0,0,21600000,180000,21420000,19710000.0,2160000.0,11550000,6000000,1710000.0,-810000.0,0,810000.0,900000.0,0.9916666666666667,0.041666666666666664
21600000,0,0,0,21600000,90000,21510000,19710000.0,2160000.0,11550000,6000000,1800000.0,-989999.9999999999,0,989999.9999999999,810000.0000000001,0.9958333333333333,0.037500000000000006
21600000,0,0,0,21600000,180000,21420000,19710000.0,2160000.0,11550000,6000000,1710000.0,-989999.9999999999,0,989999.9999999999,720000.0000000001,0.9916666666666667,0.03333333333333334
21600000,0,0,0,21600000,90000,21510000,19710000.0,2160000.0,11550000,6000000,1800000.0,-899999.9999999999,0,899999.9999999999,900000.0000000001,0.9958333333333333,0.04166666666666667
21600000,0,0,0,21600000,180000,21420000,19710000.0,2160000.0,11550000,6000000,1710000.0,-899999.9999999999,0,899999.9999999999,810000.0000000001,0.9916666666666667,0.037500000000000006
21600000,0,0,0,21600000,90000,21510000,22260000.0,2160000.0,14100000,6000000,-750000.0,-810000.0,0,810000.0,-1560000.0,0.9958333333333333,-0.07222222222222222
21600000,0,0,0,21600000,180000,21420000,22260000.0,2160000.0,14100000,6000000,-840000.0,-810000.0,0,810000.0,-1650000.0,0.9916666666666667,-0.0763888888888889
21600000,0,0,0,21600000,90000,21510000,22260000.0,2160000.0,14100000,6000000,-750000.0,-989999.9999999999,0,989999.9999999999,-1740000.0,0.9958333333333333,-0.08055555555555556
21600000,0,0,0,21600000,180000,21420000,22260000.0,2160000.0,14100000,6000000,-840000.0,-989999.9999999999,0,989999.9999999999,-1830000.0,0.9916666666666667,-0.08472222222222223
21600000,0,0,0,21600000,90000,21510000,22260000.0,2160000.0,14100000,6000000,-750000.0,-899999.9999999999,0,899999.9999999999,-1650000.0,0.9958333333333333,-0.0763888888888889
21600000,0,0,0,21600000,180000,21420000,22260000.0,2160000.0,14100000,6000000,-840000.0,-899999.9999999999,0,899999.9999999999,-1740000.0,0.9916666666666667,-0.08055555555555556
21600000,0,0,0,21600000,90000,21510000,23160000.0,2160000.0,15000000,6000000,-1650000.0,-810000.0,0,810000.0,-2460000.0,0.9958333333333333,-0.11388888888888889
21600000,0,0,0,21600000,180000,21420000,23160000.0,2160000.0,15000000,6000000,-1740000.0,-810000.0,0,810000.0,-2550000.0,0.9916666666666667,-0.11805555555555555
21600000,0,0,0,21600000,90000,21510000,23160000.0,2160000.0,15000000,6000000,-1650000.0,-989999.9999999999,0,989999.9999999999,-2640000.0,0.9958333333333333,-0.12222222222222222
21600000,0,0,0,21600000,180000,21420000,23160000.0,2160000.0,15000000,6000000,-1740000.0,-989999.9999999999,0,989999.9999999999,-2730000.0,0.9916666666666667,-0.12638888888888888
21600000,0,0,0,21600000,90000,21510000,23160000.0,2160000.0,15000000,6000000,-1650000.0,-899999.9999999999,0,899999.9999999999,-2550000.0,0.9958333333333333,-0.11805555555555555
21600000,0,0,0,21600000,180000,21420000,23160000.0,2160000.0,15000000,6000000,-1740000.0,-899999.9999999999,0,899999.9999999999,-2640000.0,0.9916666666666667,-0.12222222222222222
21600000,0,0,0,21600000,90000,21510000,22710000.0,2160000.0,14550000,6000000,-1200000.0,-810000.0,0,810000.0,-2010000.0,0.9958333333333333,-0.09305555555555556
